Sukunimi,Etunimi,Eduskuntaryhmä,Vaalipiiri,Syntymäaika,Edustajatoimen tila,,,,,,,Edustajatoimen tila
Ronkainen,Jari,ps,Hämeen vaalipiiri,28.05.1972,nyk,,,,,,,nyk
Rossi,Markku,kesk,Savo-Karjalan vaalipiiri,05.03.1956,nyk,,,,,,,nyk
Rundgren,Simo,,Lapin vaalipiiri,28.06.1953,ent,,,,,,,ent
Ruoho,Veera,ps,Uudenmaan vaalipiiri,04.08.1969,nyk,,,,,,,nyk
Ruohonen-Lerner,Pirkko,ps,Uudenmaan vaalipiiri,06.02.1957,kesk,,,,,,,kesk
Rydman,Wille,kok,Helsingin vaalipiiri,02.01.1986,nyk,,,,,,,nyk
Räsänen,Joona,sd,Uudenmaan vaalipiiri,24.02.1987,nyk,,,,,,,nyk
Räsänen,Päivi,kd,Hämeen vaalipiiri,19.12.1959,nyk,,,,,,,nyk
Rönni,Tero,,Pirkanmaan vaalipiiri,03.03.1954,ent,,,,,,,ent
Saarakkala,Vesa-Matti,ps,Vaasan vaalipiiri,24.03.1984,nyk,,,,,,,nyk
Saarikko,Annika,kesk,Varsinais-Suomen vaalipiiri,10.11.1983,nyk,,,,,,,nyk
Saarinen,Matti,,Uudenmaan vaalipiiri,16.06.1947,ent,,,,,,,ent
Salo,Mauri,,Varsinais-Suomen vaalipiiri,02.08.1946,ent,,,,,,,ent
Salo,Petri,,Vaasan vaalipiiri,18.10.1959,ent,,,,,,,ent
Salolainen,Pertti,kok,Helsingin vaalipiiri,19.10.1940,nyk,,,,,,,nyk
Salonen,Kristiina,sd,Satakunnan vaalipiiri,07.06.1977,nyk,,,,,,,nyk
Salovaara,Pertti,,Pirkanmaan vaalipiiri,19.10.1970,ent,,,,,,,ent
Sankelo,Janne,,Vaasan vaalipiiri,01.01.1967,ent,,,,,,,ent
Sarkkinen,Hanna,vas,Oulun vaalipiiri,18.04.1988,nyk,,,,,,,nyk
Sarkomaa,Sari,kok,Helsingin vaalipiiri,24.09.1965,nyk,,,,,,,nyk
Sasi,Kimmo,,Pirkanmaan vaalipiiri,21.02.1952,ent,,,,,,,ent
Satonen,Arto,kok,Pirkanmaan vaalipiiri,20.10.1966,nyk,,,,,,,nyk
Savio,Sami,ps,Pirkanmaan vaalipiiri,23.09.1975,nyk,,,,,,,nyk
