sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Myllykoski,Jari,vas,Satakunnan vaalipiiri,27.06.1959,nyk
Mäkelä,Jani,ps,Kaakkois-Suomen vaalipiiri,21.10.1976,nyk
Mäkelä,Jukka,,Uudenmaan vaalipiiri,07.07.1960,ent
Mäkelä,Outi,kok,Uudenmaan vaalipiiri,16.08.1974,nyk
Mäkinen,Tapani,,Uudenmaan vaalipiiri,19.03.1965,ent
Mäkipää,Lea,ps,Pirkanmaan vaalipiiri,06.05.1947,nyk
Mäkisalo-Ropponen,Merja,sd,Savo-Karjalan vaalipiiri,20.04.1958,nyk
Männistö,Lasse,,Helsingin vaalipiiri,16.03.1982,ent
Mäntylä,Hanna,ps,Lapin vaalipiiri,19.09.1974,nyk
Mäntymaa,Markku,,Vaasan vaalipiiri,17.04.1954,ent
Mölsä,Martti,ps,Pirkanmaan vaalipiiri,02.04.1952,nyk
Nauclér,Elisabeth,,Ahvenanmaan maakunnan vaalipiiri,07.03.1952,ent
Nepponen,Olli,,Mikkelin vaalipiiri,22.09.1940,ent
Niikko,Mika,ps,Uudenmaan vaalipiiri,20.01.1967,nyk
Niinistö,Jussi,ps,Uudenmaan vaalipiiri,27.10.1970,nyk
Niinistö,Sauli,,Uudenmaan vaalipiiri,24.08.1948,ent
Niinistö,Ville,vihr,Varsinais-Suomen vaalipiiri,30.07.1976,nyk
Nordman,Håkan,,Vaasan vaalipiiri,08.07.1944,ent
Nurmi,Tuija,,Hämeen vaalipiiri,19.03.1958,ent
Nurminen,Ilmari,sd,Pirkanmaan vaalipiiri,24.02.1991,nyk
Nylander,Mikaela,r,Uudenmaan vaalipiiri,27.03.1970,nyk
Nylund,Mats,r,Vaasan vaalipiiri,01.08.1964,nyk
Oinonen,Lauri,,Keski-Suomen vaalipiiri,10.08.1947,ent
Oinonen,Pentti,ps,Savo-Karjalan vaalipiiri,11.06.1952,nyk
Ojala-Niemelä,Johanna,sd,Lapin vaalipiiri,01.10.1974,nyk
Ojansuu-Kaunisto,Kirsi,,Hämeen vaalipiiri,15.12.1963,ent
Ollila,Heikki A.,,Pirkanmaan vaalipiiri,26.05.1950,ent
Orpo,Petteri,kok,Varsinais-Suomen vaalipiiri,03.11.1969,nyk
Paajanen,Reijo,,Kymen vaalipiiri,12.06.1950,ent
